7zip 25.01-5.fc44
mdadm 4.3-11.fc44
media-player-info 23-20.fc44
mediawriter 5.2.9-2.fc44
memstrack 0.2.5-8.fc44
mesa-dri-drivers 26.0.3-4.fc44
mesa-filesystem 26.0.3-4.fc44
mesa-libEGL 26.0.3-4.fc44
mesa-libgbm 26.0.3-4.fc44
mesa-libGL 26.0.3-4.fc44
mesa-libGLU 9.0.3-8.fc44
mesa-vulkan-drivers 26.0.3-4.fc44
messagelib 25.12.3-1.fc44
microcode_ctl 2.1-74.fc44
mimetreeparser 25.12.3-1.fc44
minicom 2.10-2.fc44
minizip-ng-compat 4.1.0-1.fc44
mkpasswd 5.6.6-1.fc44
ModemManager 1.24.2-3.fc44
ModemManager-glib 1.24.2-3.fc44
mokutil 0.7.2-3.fc44
mozilla-filesystem 1.9-38.fc44
mpage 2.5.7-24.fc44
mpdecimal 4.0.1-3.fc44
mpfr 4.2.2-3.fc44
mpg123-libs 1.32.10-3.fc44
mt7xxx-firmware 20260309-1.fc44
mtdev 1.1.6-12.fc44
mtools 4.0.49-3.fc44
mtr 0.95-14.fc44
mysql-selinux 1.0.14-3.fc44
mythes 1.2.5-10.fc44
mythes-en 3.0-43.fc44
nano 8.7.1-1.fc44
nano-default-editor 8.7.1-1.fc44
ncurses 6.6-1.fc44
ncurses-base 6.6-1.fc44
ncurses-libs 6.6-1.fc44
ndctl 84-1.fc44
ndctl-libs 84-1.fc44
neochat 25.12.3-1.fc44
neon 0.36.0-4.fc44
netavark 1.17.2-1.fc44
net-snmp-libs 5.9.5.2-4.fc44
nettle 3.10.1-3.fc44
net-tools 2.0-0.77.20160912git.fc44
NetworkManager 1.56.0-1.fc44
NetworkManager-adsl 1.56.0-1.fc44
NetworkManager-bluetooth 1.56.0-1.fc44
NetworkManager-config-connectivity-fedora 1.56.0-1.fc44
NetworkManager-l2tp 1.52.0-3.fc44
NetworkManager-libnm 1.56.0-1.fc44
NetworkManager-libreswan 1.2.30-3.fc44
NetworkManager-openconnect 1.2.10-11.fc44
NetworkManager-openvpn 1.12.5-4.fc44
NetworkManager-ppp 1.56.0-1.fc44
NetworkManager-pptp 1.2.12-12.fc44
NetworkManager-team 1.56.0-1.fc44
NetworkManager-vpnc 1.4.0-6.fc44
NetworkManager-wifi 1.56.0-1.fc44
NetworkManager-wwan 1.56.0-1.fc44
nfs-client-utils 2.8.7-0.fc44
nfs-common-utils 2.8.7-0.fc44
nfs-utils 2.8.7-0.fc44
nfsv3-client-utils 2.8.7-0.fc44
nfsv4-client-utils 2.8.7-0.fc44
nftables 1.1.6-2.fc44
nftables-services 1.1.6-2.fc44
ngtcp2 1.21.0-1.fc44
ngtcp2-crypto-gnutls 1.21.0-1.fc44
ngtcp2-crypto-ossl 1.21.0-1.fc44
nilfs-utils 2.2.11-8.fc44
nmap-ncat 7.92-8.fc44
noopenh264 2.6.0-4.fc44
npth 1.8-4.fc44
nspr 4.38.2-9.fc44
nss 3.122.1-1.fc44
nss-mdns 0.15.1-28.fc44
nss-softokn 3.122.1-1.fc44
nss-softokn-freebl 3.122.1-1.fc44
nss-sysinit 3.122.1-1.fc44
nss-tools 3.122.1-1.fc44
nss-util 3.122.1-1.fc44
ntfs-3g 2022.10.3-12.fc44
ntfs-3g-libs 2022.10.3-12.fc44
ntfs-3g-system-compression 1.1-2.fc44
ntfsprogs 2022.10.3-12.fc44
numactl-libs 2.0.19-4.fc44
nvidia-gpu-firmware 20260309-1.fc44
nvme-cli 2.16-2.fc44
nxpwireless-firmware 20260309-1.fc44
ocean-sound-theme 6.6.4-1.fc44
ocfs2-tools 1.8.9-2.fc44
okular 25.12.3-1.fc44
okular-libs 25.12.3-1.fc44
okular-part 25.12.3-1.fc44
oniguruma 6.9.10-4.fc44
openal-soft 1.24.2-6.fc44
openapv-libs 0.2.1.2-1.fc44
openblas 0.3.29-2.fc43
openblas-openmp 0.3.29-2.fc43
OpenCL-ICD-Loader 3.0.6-7.20250722gitad770a1.fc44
openconnect 9.12-10.fc44
opencore-amr 0.1.6-10.fc44
opencv-core 4.13.0-1.fc44
opencv-imgproc 4.13.0-1.fc44
openexr-libs 3.2.4-7.fc44
openjpeg 2.5.4-3.fc44
openldap 2.6.13-1.fc44
openpace 1.1.3-5.fc44
openpgm 5.3.128-6.fc44
open-sans-fonts 1.10-25.fc44
opensc 0.26.1-6.fc44
opensc-libs 0.26.1-6.fc44
openssh 10.2p1-7.fc44
openssh-askpass 10.2p1-7.fc44
openssh-clients 10.2p1-7.fc44
openssh-server 10.2p1-7.fc44
openssl 3.5.5-1.fc44
openssl-libs 3.5.5-1.fc44
open-vm-tools 13.0.10-2.fc44
open-vm-tools-desktop 13.0.10-2.fc44
openvpn 2.7.0-1.fc44
openxr-libs 1.1.57-1.fc44
opus 1.6-2.fc44
opusfile 0.12-18.fc44
opus-tools 0.2-20.fc44
orc 0.4.41-3.fc44
orca 50.0.9-1.fc44
osinfo-db 20251212-1.fc44
osinfo-db-tools 1.12.0-5.fc44
os-prober 1.81-11.fc44
ostree-libs 2025.7-2.fc44
p11-kit 0.26.2-1.fc44
p11-kit-server 0.26.2-1.fc44
p11-kit-trust 0.26.2-1.fc44
PackageKit 1.3.4-3.fc44
PackageKit-command-not-found 1.3.4-3.fc44
PackageKit-glib 1.3.4-3.fc44
PackageKit-gstreamer-plugin 1.3.4-3.fc44
PackageKit-Qt6 1.1.4-4.fc44
paktype-naskh-basic-fonts 7.0-4.20231228.fc44
pam 1.7.2-1.fc44
pam-kwallet 6.6.4-1.fc44
pam-libs 1.7.2-1.fc44
pam_passwdqc 2.0.3-9.fc44
pango 1.57.1-1.fc44
pangomm 2.46.4-5.fc44
paps 0.8.0-15.fc44
parted 3.6-14.fc44
passim 0.1.10-3.fc44
passim-libs 0.1.10-3.fc44
passt 0^20260120.g386b5f5-1.fc44
passt-selinux 0^20260120.g386b5f5-1.fc44
passwdqc 2.0.3-9.fc44
passwdqc-utils 2.0.3-9.fc44
pcaudiolib 1.1-19.fc44
pciutils 3.14.0-3.fc44
pciutils-libs 3.14.0-3.fc44
pcre2 10.47-1.fc44.1
pcre2-syntax 10.47-1.fc44.1
pcre2-utf16 10.47-1.fc44.1
pcre2-utf32 10.47-1.fc44.1
pcsc-lite 2.4.1-2.fc44
pcsc-lite-ccid 1.7.1-2.fc44
pcsc-lite-libs 2.4.1-2.fc44
perl-AutoLoader 5.74-523.fc44
perl-B 1.89-523.fc44
perl-base 2.27-523.fc44
perl-Carp 1.54-521.fc44
perl-Class-Struct 0.68-523.fc44
perl-constant 1.33-522.fc44
perl-Data-Dumper 2.191-522.fc44
perl-DBI 1.647-5.fc44
perl-Digest 1.20-521.fc44
perl-Digest-MD5 2.59-521.fc44
perl-DynaLoader 1.57-523.fc44
perl-Encode 3.21-521.fc44
perl-Errno 1.38-523.fc44
perl-Exporter 5.79-521.fc44
perl-Fcntl 1.20-523.fc44
perl-File-Basename 2.86-523.fc44
perl-File-Copy 2.41-523.fc44
perl-FileHandle 2.05-523.fc44
perl-File-Path 2.18-522.fc44
perl-File-stat 1.14-523.fc44
perl-File-Temp 0.231.200-2.fc44
perl-Getopt-Long 2.58-521.fc44
perl-Getopt-Std 1.14-523.fc44
perl-HTTP-Tiny 0.092-2.fc44
perl-if 0.61.000-523.fc44
perl-interpreter 5.42.1-523.fc44
perl-IO 1.55-523.fc44
perl-IO-Socket-IP 0.43-522.fc44
perl-IO-Socket-SSL 2.098-2.fc44
perl-IPC-Open3 1.24-523.fc44
perl-libnet 3.15-522.fc44
perl-libs 5.42.1-523.fc44
perl-locale 1.13-523.fc44
perl-Math-BigInt 2.0050.03-4.fc44
perl-Math-Complex 1.63-523.fc44
perl-MIME-Base32 1.303-25.fc44
perl-MIME-Base64 3.16-521.fc44
perl-mro 1.29-523.fc44
perl-NDBM_File 1.18-523.fc44
perl-Net-SSLeay 1.94-12.fc44
perl-overload 1.40-523.fc44
perl-overloading 0.02-523.fc44
perl-parent 0.244-521.fc44
perl-PathTools 3.94-521.fc44
perl-Pod-Escapes 1.07-521.fc44
perl-podlators 6.0.2-521.fc44
perl-Pod-Perldoc 3.28.01-522.fc44
perl-Pod-Simple 3.47-4.fc44
perl-Pod-Usage 2.05-521.fc44
perl-POSIX 2.23-523.fc44
perl-Scalar-List-Utils 1.70-2.fc44
perl-SelectSaver 1.02-523.fc44
perl-Socket 2.040-3.fc44
perl-Storable 3.37-522.fc44
perl-Symbol 1.09-523.fc44
perl-Sys-Hostname 1.25-523.fc44
perl-Term-ANSIColor 5.01-522.fc44
perl-Term-Cap 1.18-521.fc44
perl-Text-ParseWords 3.31-521.fc44
perl-Text-Tabs+Wrap 2024.001-521.fc44
perl-Time-HiRes 1.9778-521.fc44
perl-Time-Local 1.350-521.fc44
perl-URI 5.34-3.fc44
perl-vars 1.05-523.fc44
phonon-backend-vlc-common 0.12.0-8.fc44
phonon-common 4.12.0-11.fc44
phonon-qt6 4.12.0-11.fc44
phonon-qt6-backend-vlc 0.12.0-8.fc44
pimcommon 25.12.3-1.fc44
pim-data-exporter 25.12.3-1.fc44
pim-data-exporter-libs 25.12.3-1.fc44
pim-sieve-editor 25.12.3-1.fc44
pinentry 1.3.2-2.fc44
pinentry-qt 1.3.2-2.fc44
pinfo 0.6.13-10.fc44
pipewire 1.6.2-1.fc44
pipewire-alsa 1.6.2-1.fc44
pipewire-config-raop 1.6.2-1.fc44
pipewire-gstreamer 1.6.2-1.fc44
pipewire-jack-audio-connection-kit 1.6.2-1.fc44
pipewire-jack-audio-connection-kit-libs 1.6.2-1.fc44
pipewire-libs 1.6.2-1.fc44
pipewire-plugin-libcamera 1.6.2-1.fc44
pipewire-pulseaudio 1.6.2-1.fc44
pipewire-utils 1.6.2-1.fc44
pixman 0.46.2-3.fc44
pkcs11-helper 1.30.0-5.fc44
pkcs11-provider 1.1-3.fc44
pkgconf 2.5.1-1.fc44
pkgconf-m4 2.5.1-1.fc44
pkgconf-pkg-config 2.5.1-1.fc44
plasma5support 6.6.4-1.fc44
plasma-activities 6.6.4-1.fc44
plasma-activities-stats 6.6.4-1.fc44
plasma-breeze 6.6.4-1.fc44
plasma-breeze-common 6.6.4-1.fc44
plasma-breeze-qt6 6.6.4-1.fc44
plasma-browser-integration 6.6.4-1.fc44
plasma-desktop 6.6.4-1.fc44
plasma-desktop-doc 6.6.4-1.fc44
plasma-discover 6.6.4-1.fc44
plasma-discover-flatpak 6.6.4-1.fc44
plasma-discover-kns 6.6.4-1.fc44
plasma-discover-libs 6.6.4-1.fc44
plasma-discover-notifier 6.6.4-1.fc44
plasma-discover-offline-updates 6.6.4-1.fc44
plasma-discover-packagekit 6.6.4-1.fc44
plasma-disks 6.6.4-1.fc44
plasma-drkonqi 6.6.4-1.fc44
plasma-integration 6.6.4-1.fc44
plasma-keyboard 6.6.4-1.fc44
plasma-login-manager 6.6.4-1.fc44
plasma-lookandfeel-fedora 6.6.4-1.fc44
plasma-milou 6.6.4-1.fc44
plasma-nm 6.6.4-1.fc44
plasma-nm-l2tp 6.6.4-1.fc44
plasma-nm-openconnect 6.6.4-1.fc44
plasma-nm-openswan 6.6.4-1.fc44
plasma-nm-openvpn 6.6.4-1.fc44
plasma-nm-pptp 6.6.4-1.fc44
plasma-nm-vpnc 6.6.4-1.fc44
plasma-pa 6.6.4-1.fc44
plasma-print-manager 6.6.4-1.fc44
plasma-print-manager-libs 6.6.4-1.fc44
plasma-setup 6.6.4-6.fc44
plasma-systemmonitor 6.6.4-1.fc44
plasma-systemsettings 6.6.4-1.fc44
plasma-thunderbolt 6.6.4-1.fc44
plasma-vault 6.6.4-1.fc44
plasma-welcome 6.6.4-1.fc44
plasma-welcome-fedora 6.3.4-3.fc44
plasma-workspace 6.6.4-1.fc44
plasma-workspace-common 6.6.4-1.fc44
plasma-workspace-libs 6.6.4-1.fc44
plasma-workspace-wallpapers 6.6.4-1.fc44
plocate 1.1.24-1.fc44
plutosvg 0.0.7-4.fc44
plutovg 1.3.2-2.fc44
plymouth 24.004.60-24.fc44
plymouth-core-libs 24.004.60-24.fc44
plymouth-graphics-libs 24.004.60-24.fc44
plymouth-plugin-label 24.004.60-24.fc44
plymouth-plugin-two-step 24.004.60-24.fc44
plymouth-scripts 24.004.60-24.fc44
plymouth-system-theme 24.004.60-24.fc44
plymouth-theme-spinner 24.004.60-24.fc44
podman 5.8.1-1.fc44
podman-sequoia 0.3.2-1.fc44
policycoreutils 3.10-1.fc44
policycoreutils-python-utils 3.10-1.fc44
polkit 127-2.fc44.2
polkit-kde 6.6.4-1.fc44
polkit-libs 127-2.fc44.2
polkit-pkla-compat 0.1-32.fc44
polkit-qt6-1 0.200.0-5.fc44
poly2tri 0.0^20130501hg26242d0aa7b8-7.fc44
poppler 26.01.0-3.fc44
poppler-cpp 26.01.0-3.fc44
poppler-data 0.4.11-11.fc44
poppler-glib 26.01.0-3.fc44
poppler-qt6 26.01.0-3.fc44
poppler-utils 26.01.0-3.fc44
popt 1.19-10.fc44
portaudio 19.7.0-3.fc44
powerdevil 6.6.4-1.fc44
ppp 2.5.1-7.fc44
pptp 1.10.0-24.fc44
prefixdevname 0.2.0-8.fc44
procps-ng 4.0.6-1.fc44
protobuf 3.19.6-20.fc44
protobuf-c 1.5.2-2.fc44
psacct 6.6.4-26.fc44
psmisc 23.7-7.fc44
publicsuffix-list-dafsa 20260116-1.fc44
pugixml 1.15-2.fc44
pulseaudio-libs 17.0-9.fc44
pulseaudio-libs-glib2 17.0-9.fc44
pulseaudio-qt-qt6 1.7.0-4.fc44
pulseaudio-utils 17.0-9.fc44
python3 3.14.3-2.fc44
python3-abrt 2.17.8-3.fc44
python3-abrt-addon 2.17.8-3.fc44
python3-anyio 4.12.1-3.fc44
python3-argcomplete 3.6.3-4.fc44
python3-audit 4.1.4-1.fc44
python3-augeas 1.2.0-7.fc44
python3-beautifulsoup4 4.14.3-2.fc44
python3-blivet 3.13.2-2.fc44
python3-blockdev 3.4.0-2.fc44
python3-boto3 1.42.78-1.fc44
python3-botocore 1.42.78-1.fc44
python3-brlapi 0.8.7-8.fc44
python3-bugzilla 3.3.0-7.fc44
python3-bytesize 2.12-2.fc44
python3-cairo 1.28.0-5.fc44
python3-certifi 2026.01.04-1.fc44
python3-cffi 2.0.0-3.fc44
python3-charset-normalizer 3.4.4-2.fc44
python3-click 8.3.1-1.fc44
python3-crypt-r 3.13.1-9.fc44
python3-cups 2.0.4-8.fc44
python3-dasbus 1.7-14.fc44
python3-dateutil 2.9.0.post0-7.fc44
python3-dbus 1.4.0-9.fc44
python3-dbus-next 0.2.3-18.fc44
python3-distro 1.9.0-11.fc44
python3-dnf 4.24.0-3.fc44
python3-dnf-plugins-core 4.10.1-9.fc44
python3-enchant 3.3.0-2.fc44
python3-file-magic 5.46-9.fc44
python3-firewall 2.4.0-2.fc44
python3-gobject 3.56.2-1.fc44
python3-gobject-base 3.56.2-1.fc44
python3-h11 0.16.0-6.fc44
python3-hawkey 0.75.0-2.fc44
python3-html2text 2025.4.15-6.fc44
python3-httpcore 1.0.9-6.fc44
python3-httpx 0.28.1-11.fc44
python3-humanize 4.15.0-2.fc44
python3-ibus 1.5.34~rc1-4.fc44
python3-idna 3.11-2.fc44
python3-inotify 0.9.6-43.fc44
python3-iso639 0.1.4-33.fc44
python3-jmespath 1.0.1-14.fc44
python3-kickstart 3.69-1.fc44
python3-langtable 0.0.70-1.fc44
python3-libcomps 0.1.24-1.fc44
python3-libdnf 0.75.0-2.fc44
python3-libdnf5 5.4.1.0-1.fc44
python3-libmount 2.41.3-12.fc44
python3-libreport 2.17.15-10.fc44
python3-libs 3.14.3-2.fc44
python3-libselinux 3.10-1.fc44
python3-libsemanage 3.10-1.fc44
python3-libxml2 2.12.10-6.fc44
python3-linux-procfs 0.7.4-2.fc44
python3-louis 3.33.0-7.fc44
python3-lxml 6.0.2-2.fc44
python3-meh 0.52-9.fc44
python3-nftables 1.1.6-2.fc44
python3-olefile 0.47-13.fc44
python3-packaging 25.0-8.fc44
python3-perf 6.19.10-300.fc44
python3-pexpect 4.9.0-15.fc44
python3-pid 3.0.4-5.fc44
python3-pillow 12.1.0-2.fc44
python3-policycoreutils 3.10-1.fc44
python3-productmd 1.50-2.fc44
python3-psutil 7.2.2-1.fc44
python3-ptyprocess 0.7.0-15.fc44
python3-pwquality 1.4.5-15.fc44
python3-pyatspi 2.58.2-1.fc44
python3-pyaudio 0.2.13-11.fc44
python3-pycparser 2.22-8.fc44
python3-pygdbmi 0.11.0.0-12.fc44
python3-pyparted 3.13.0-14.fc44
python3-pysocks 1.7.1-32.fc44
python3-pyudev 0.24.4-3.fc44
python3-pyxdg 0.28-1.fc44
python3-pyyaml 6.0.3-3.fc44
python3-rapidfuzz 3.14.3-2.fc44
python3-regex 2026.2.28-1.fc44
python3-requests 2.32.5-5.fc44
python3-requests-file 3.0.0-2.fc44
python3-requests-ftp 0.3.1-43.fc44
python3-rpm 6.0.1-2.fc44
python3-s3transfer 0.16.0-2.fc44
python3-satyr 0.43-10.fc44
python3-sentry-sdk 2.48.0-2.fc44
python3-setools 4.6.0-5.fc44
python3-simpleaudio 1.0.4-21.fc44
python3-simpleline 1.9.0-18.fc44
python3-six 1.17.0-8.fc44
python3-soupsieve 2.8.3-1.fc44
python3-speechd 0.12.1-6.fc44
python3-systemd 235-18.fc44
python3-typing-extensions 4.15.0-3.fc44
python3-unbound 1.24.2-10.fc44
python3-urllib3 2.6.3-2.fc44
python3-urllib3+socks 2.6.3-2.fc44
python3-xkbregistry 0.3-9.fc44
python-pip-wheel 26.0.1-2.fc44
python-unversioned-command 3.14.3-2.fc44
qaccessibilityclient-qt6 0.6.0-5.fc44
qca-qt6 2.3.10-4.fc44
qca-qt6-ossl 2.3.10-4.fc44
qcom-wwan-firmware 20260309-1.fc44
qcoro-qt6 0.12.0-4.fc44
qemu-guest-agent 10.2.2-1.fc44
qgpgme-qt6 2.0.1-3.fc44
qpdf-libs 12.3.2-1.fc44
qqc2-breeze-style 6.6.4-1.fc44
qrca 25.12.3-1.fc44
qrencode-libs 4.1.1-12.fc44
qt6-filesystem 6.10.2-1.fc44
qt6-qt5compat 6.10.2-1.fc44
qt6-qtbase 6.10.2-2.fc44
qt6-qtbase-common 6.10.2-2.fc44
qt6-qtbase-gui 6.10.2-2.fc44
qt6-qtbase-mysql 6.10.2-2.fc44
qt6-qtconnectivity 6.10.2-1.fc44
qt6-qtdeclarative 6.10.2-2.fc44
qt6-qtimageformats 6.10.2-1.fc44
qt6-qtlocation 6.10.2-1.fc44
qt6-qtmultimedia 6.10.2-2.fc44
qt6-qtnetworkauth 6.10.2-1.fc44
qt6-qtpdf 6.10.2-1.fc44
qt6-qtpositioning 6.10.2-1.fc44
qt6-qtquick3d 6.10.2-1.fc44
qt6-qtquicktimeline 6.10.2-1.fc44
qt6-qtserialport 6.10.2-1.fc44
qt6-qtshadertools 6.10.2-2.fc44
qt6-qtspeech 6.10.2-1.fc44
qt6-qtspeech-flite 6.10.2-1.fc44
qt6-qtspeech-speechd 6.10.2-1.fc44
qt6-qtsvg 6.10.2-1.fc44
qt6-qttools 6.10.2-2.fc44
qt6-qttools-common 6.10.2-2.fc44
qt6-qttranslations 6.10.2-1.fc44
qt6-qtvirtualkeyboard 6.10.2-1.fc44
qt6-qtwayland 6.10.2-1.fc44
qt6-qtwebchannel 6.10.2-1.fc44
qt6-qtwebengine 6.10.2-1.fc44
qt6-qtwebsockets 6.10.2-1.fc44
qt6-qtwebview 6.10.2-1.fc44
qtkeychain-qt6 0.15.0-3.fc44
quota 4.11-2.fc44
quota-nls 4.11-2.fc44
raptor2 2.0.15-50.fc44
rasqal 0.9.33-32.fc44
rav1e-libs 0.8.1-3.fc44
rdma-core-common 61.0-2.fc44
re2 20251105-4.fc44
readline 8.3-4.fc44
realmd 0.17.1-19.fc44
realtek-firmware 20260309-1.fc44
redhat-menus 12.0.2-39.fc44
redland 1.0.17-41.fc44
rit-meera-new-fonts 1.6.2-5.fc44
rit-rachana-fonts 1.5.2-5.fc44
rootfiles 9.0-6.fc44
rpcbind 1.2.8-1.fc44
rpm 6.0.1-2.fc44
rpm-build-libs 6.0.1-2.fc44
rpm-libs 6.0.1-2.fc44
rpm-plugin-audit 6.0.1-2.fc44
rpm-plugin-selinux 6.0.1-2.fc44
rpm-plugin-systemd-inhibit 6.0.1-2.fc44
rpm-sequoia 1.10.1-1.fc44
rpm-sign-libs 6.0.1-2.fc44
rsync 3.4.1-6.fc44
rsyslog 8.2510.0-3.fc44
rtkit 0.11-70.fc44
rubberband-libs 4.0.0-5.fc44
samba 4.24.0-6.fc44
samba-client 4.24.0-6.fc44
samba-client-libs 4.24.0-6.fc44
samba-common 4.24.0-6.fc44
samba-common-tools 4.24.0-6.fc44
samba-core-libs 4.24.0-6.fc44
samba-dcerpc 4.24.0-6.fc44
samba-ldb-ldap-modules 4.24.0-6.fc44
samba-libs 4.24.0-6.fc44
samba-ndr-libs 4.24.0-6.fc44
samba-usershares 4.24.0-6.fc44
sane-airscan 0.99.36-2.fc44
sane-backends 1.4.0-6.fc44
sane-backends-drivers-cameras 1.4.0-6.fc44
sane-backends-drivers-scanners 1.4.0-6.fc44
sane-backends-libs 1.4.0-6.fc44
satyr 0.43-10.fc44
sdbus-cpp 2.2.1-2.fc44
sdl2-compat 2.32.64-1.fc44
SDL3 3.4.0-3.fc44
SDL3_image 3.4.0-3.fc44
SDL3_ttf 3.2.2-4.fc44
sed 4.9-7.fc44
selinux-policy 43.3-1.fc44
selinux-policy-targeted 43.3-1.fc44
serd 0.32.8-1.fc44
setroubleshoot 3.3.36-3.fc44
setroubleshoot-plugins 3.3.15-6.fc44
setroubleshoot-server 3.3.36-3.fc44
setup 2.15.0-28.fc44
setxkbmap 1.3.4-7.fc44
sgml-common 0.6.3-68.fc44
shadow-utils 4.19.0-6.fc44
shadow-utils-subid 4.19.0-6.fc44
shared-mime-info 2.4-3.fc44
shim-ia32 16.1-5
shim-x64 16.1-5
signon 8.60^20240205.c8ad982-5.fc44
signon-kwallet-extension 25.12.3-1.fc44
signon-plugin-oauth2 0.25^20231216.fab6988-7.fc44
signon-qt6 8.60^20240205.c8ad982-5.fc44
signon-ui 0.15^20240205.eef943f-6.fc44
sil-padauk-fonts 3.003-21.fc44
skanpage 25.12.3-1.fc44
skopeo 1.22.0-2.fc44
slang 2.3.3-9.fc44
slitherer 0~git20251108.d230dba-4.fc44
smartmontools 7.5-6.fc44
smartmontools-selinux 7.5-6.fc44
snappy 1.2.2-4.fc44
socat 1.8.1.0-2.fc44
sord 0.16.22-1.fc44
sos 4.11.0-1.fc44
sound-theme-freedesktop 0.8-31.fc44
soundtouch 2.4.0-3.fc44
source-highlight 3.1.9-27.fc44
soxr 0.1.3-21.fc44
spandsp 0.0.6-22.fc44
spdlog 1.15.3-4.fc44
spectacle 6.6.4-1.fc44
speech-dispatcher 0.12.1-6.fc44
speech-dispatcher-espeak-ng 0.12.1-6.fc44
speech-dispatcher-libs 0.12.1-6.fc44
speech-dispatcher-utils 0.12.1-6.fc44
speex 1.2.0-21.fc44
spice-vdagent 0.23.0-2.fc44
spice-webdavd 3.0-13.fc44
spirv-tools-libs 2026.1-1.fc44
sqlite-libs 3.51.2-1.fc44
sratom 0.6.22-1.fc44
srt-libs 1.5.4-5.fc44
sscg 4.0.3-3.fc44
sssd-client 2.12.0-4.fc44
sssd-common 2.12.0-4.fc44
sssd-kcm 2.12.0-4.fc44
sssd-krb5-common 2.12.0-4.fc44
sssd-nfs-idmap 2.12.0-4.fc44
sssd-proxy 2.12.0-4.fc44
startup-notification 0.12-33.fc44
stix-fonts 2.13b171-10.fc44
stoken-libs 0.93-2.fc44
sudo 1.9.17-7.p2.fc44
sudo-python-plugin 1.9.17-7.p2.fc44
svt-av1-libs 3.1.2-2.fc44
switcheroo-control 3.0-5.fc44
symlinks 1.7-14.fc44
system-config-printer-libs 1.5.18-17.fc44
system-config-printer-udev 1.5.18-17.fc44
systemd 259.5-1.fc44
systemd-libs 259.5-1.fc44
systemd-networkd 259.5-1.fc44
systemd-oomd-defaults 259.5-1.fc44
systemd-pam 259.5-1.fc44
systemd-resolved 259.5-1.fc44
systemd-shared 259.5-1.fc44
systemd-sysusers 259.5-1.fc44
systemd-udev 259.5-1.fc44
taglib 2.2.1-1.fc44
tar 1.35-8.fc44
tbb 2022.3.0-3.fc44
tcl8 8.6.17-2.fc44
tcl 9.0.2-1.fc44
tcpdump 4.99.6-3.fc44
teamd 1.32-13.fc44
tesseract-common 5.5.2-1.fc44
tesseract-langpack-eng 4.1.0-12.fc44
tesseract-libs 5.5.2-1.fc44
tesseract-tessdata-doc 4.1.0-12.fc44
thermald 2.5.9-3.fc44
time 1.9-28.fc44
tinysparql 3.11.0-1.fc44
tinyxml2 11.0.0-2.fc44
tiwilink-firmware 20260309-1.fc44
tk 9.0.2-1.fc44
tmux 3.6a-1.fc44
toolbox 0.3-4.fc44
totem-pl-parser 3.26.6-14.fc44
tpm2-tools 5.7-5.fc44
tpm2-tss 4.1.3-9.fc44
tpm2-tss-fapi 4.1.3-9.fc44
traceroute 2.1.6-4.fc44
tree 2.2.1-4.fc44
tslib 1.24-2.fc44
tuned 2.27.0-1.fc44
tuned-ppd 2.27.0-1.fc44
twolame-libs 0.4.0-9.fc44
tzdata 2026a-1.fc44
tzdata-java 2026a-1.fc44
uchardet 0.0.8-10.fc44
udev-hid-bpf 2.2.0.20251121-4.fc44
udev-hid-bpf-stable 2.2.0.20251121-4.fc44
udftools 2.3-13.fc44
udisks2 2.11.1-1.fc44
udisks2-btrfs 2.11.1-1.fc44
udisks2-iscsi 2.11.1-1.fc44
udisks2-lvm2 2.11.1-1.fc44
unar 1.10.8-15.fc44
unbound-anchor 1.24.2-10.fc44
unbound-libs 1.24.2-10.fc44
unicode-ucd 17.0.0-2.fc44
unity-gtk3-module 0.0.0+17.04.20170403-24.fc44
unity-gtk-module-common 0.0.0+17.04.20170403-24.fc44
unzip 6.0-69.fc44
upower 1.91.1-1.fc44
upower-libs 1.91.1-1.fc44
uresourced 0.5.4-5.fc44
uriparser 1.0.0-2.fc44
urw-base35-bookman-fonts 20200910-27.fc44
urw-base35-c059-fonts 20200910-27.fc44
urw-base35-d050000l-fonts 20200910-27.fc44
urw-base35-fonts 20200910-27.fc44
urw-base35-fonts-common 20200910-27.fc44
urw-base35-gothic-fonts 20200910-27.fc44
urw-base35-nimbus-mono-ps-fonts 20200910-27.fc44
urw-base35-nimbus-roman-fonts 20200910-27.fc44
urw-base35-nimbus-sans-fonts 20200910-27.fc44
urw-base35-p052-fonts 20200910-27.fc44
urw-base35-standard-symbols-ps-fonts 20200910-27.fc44
urw-base35-z003-fonts 20200910-27.fc44
usb_modeswitch 2.6.2-5.fc44
usb_modeswitch-data 20191128-15.fc44
usbmuxd 1.1.1^20240915git0b1b233-7.fc44
usbutils 019-2.fc44
usermode 1.114-16.fc44
userspace-rcu 0.15.6-1.fc44
util-linux 2.41.3-12.fc44
util-linux-core 2.41.3-12.fc44
vazirmatn-vf-fonts 33.003-16.fc44
vid.stab 1.1.1-8.fc44
vim-data 9.2.240-1.fc44
vim-minimal 9.2.240-1.fc44
virtualbox-guest-additions 7.2.6-1.fc44
virt-what 1.27-5.fc44
vlc-libs 3.0.23-8.fc44
vlc-plugin-ffmpeg 3.0.23-8.fc44
vlc-plugin-gstreamer 3.0.23-8.fc44
vlc-plugin-pipewire 3-7.fc44
vlc-plugin-pulseaudio 3.0.23-8.fc44
vlc-plugins-base 3.0.23-8.fc44
vlc-plugins-video-out 3.0.23-8.fc44
vo-amrwbenc 0.1.3-24.fc44
volume_key-libs 0.3.12-29.fc44
vpnc 0.5.3^20241114.git11e15a1-4.fc44
