7zip 25.01-5.fc44
default-fonts-core-mono 4.3-1.fc44
default-fonts-core-sans 4.3-1.fc44
default-fonts-core-serif 4.3-1.fc44
default-fonts-dv 4.3-1.fc44
default-fonts-dz 4.3-1.fc44
default-fonts-el 4.3-1.fc44
default-fonts-eo 4.3-1.fc44
default-fonts-eu 4.3-1.fc44
default-fonts-fa 4.3-1.fc44
default-fonts-got 4.3-1.fc44
default-fonts-gu 4.3-1.fc44
default-fonts-he 4.3-1.fc44
default-fonts-hi 4.3-1.fc44
default-fonts-hy 4.3-1.fc44
default-fonts-ia 4.3-1.fc44
default-fonts-ii 4.3-1.fc44
default-fonts-iu 4.3-1.fc44
default-fonts-ka 4.3-1.fc44
default-fonts-kab 4.3-1.fc44
default-fonts-km 4.3-1.fc44
default-fonts-kn 4.3-1.fc44
default-fonts-ku 4.3-1.fc44
default-fonts-lo 4.3-1.fc44
default-fonts-mai 4.3-1.fc44
default-fonts-ml 4.3-1.fc44
default-fonts-mni 4.3-1.fc44
default-fonts-mr 4.3-1.fc44
default-fonts-my 4.3-1.fc44
default-fonts-nb 4.3-1.fc44
default-fonts-ne 4.3-1.fc44
default-fonts-nn 4.3-1.fc44
default-fonts-nqo 4.3-1.fc44
default-fonts-nr 4.3-1.fc44
default-fonts-nso 4.3-1.fc44
default-fonts-or 4.3-1.fc44
default-fonts-other-mono 4.3-1.fc44
default-fonts-other-sans 4.3-1.fc44
default-fonts-other-serif 4.3-1.fc44
default-fonts-pa 4.3-1.fc44
default-fonts-ru 4.3-1.fc44
default-fonts-sat 4.3-1.fc44
default-fonts-si 4.3-1.fc44
default-fonts-ss 4.3-1.fc44
default-fonts-syr 4.3-1.fc44
default-fonts-ta 4.3-1.fc44
default-fonts-te 4.3-1.fc44
default-fonts-th 4.3-1.fc44
default-fonts-tn 4.3-1.fc44
default-fonts-ts 4.3-1.fc44
default-fonts-uk 4.3-1.fc44
default-fonts-ur 4.3-1.fc44
default-fonts-ve 4.3-1.fc44
default-fonts-vi 4.3-1.fc44
default-fonts-xh 4.3-1.fc44
default-fonts-yi 4.3-1.fc44
default-fonts-zu 4.3-1.fc44
deltarpm 3.6.5-8.fc44
desktop-backgrounds-kde 44.0.0-2.fc44
desktop-file-utils 0.28-5.fc44
device-mapper 1.02.212-2.fc44
device-mapper-event 1.02.212-2.fc44
device-mapper-event-libs 1.02.212-2.fc44
device-mapper-libs 1.02.212-2.fc44
device-mapper-persistent-data 1.3.1-3.fc44
diffutils 3.12-5.fc44
distribution-gpg-keys 1.118-1.fc44
djvulibre-libs 3.5.28-16.fc44
dlm-lib 4.3.0-8.fc44
dmidecode 3.6-9.fc44
dnf5 5.4.1.0-1.fc44
dnf5-plugins 5.4.1.0-1.fc44
dnf-data 4.24.0-3.fc44
dnf-plugins-core 4.10.1-9.fc44
dnsmasq 2.92-4.fc44
dns-root-data 2026260100-2.fc44
docbook-dtds 1.0-91.fc44
docbook-style-xsl 1.79.2-27.fc44
dolphin 25.12.3-1.fc44
dolphin-libs 25.12.3-1.fc44
dolphin-plugins 25.12.3-1.fc44
dos2unix 7.5.3-3.fc44
dosfstools 4.2-18.fc44
dotconf 1.4.1-7.fc44
double-conversion 3.4.0-3.fc44
dracut 108-6.fc44
dracut-config-rescue 108-6.fc44
dracut-live 108-6.fc44
dracut-network 108-6.fc44
dragon 25.12.3-1.fc44
duktape 2.7.0-11.fc44
e2fsprogs 1.47.3-4.fc44
e2fsprogs-libs 1.47.3-4.fc44
ebook-tools-libs 0.2.2-31.fc44
ed 1.22.5-2.fc44
editorconfig-libs 0.12.10-1.fc44
efibootmgr 18-11.fc44
efi-filesystem 6-6.fc44
efivar-libs 39-12.fc44
egl-utils 9.0.0-11.fc44
elfutils 0.194-5.fc44
elfutils-debuginfod-client 0.194-5.fc44
elfutils-default-yama-scope 0.194-5.fc44
elfutils-libelf 0.194-5.fc44
elfutils-libs 0.194-5.fc44
elisa-player 25.12.3-1.fc44
emacs-filesystem 30.2-2.fc44
enchant2 2.8.15-1.fc44
espeak-ng 1.52.0-3.fc44
ethtool 6.19-1.fc44
eventviews 25.12.3-1.fc44
exempi 2.6.4-9.fc44
exfatprogs 1.3.2-1.fc44
exiv2 0.28.6-3.fc44
exiv2-libs 0.28.6-3.fc44
expat 2.7.3-2.fc44
f2fs-tools 1.16.0-10.fc44
f44-backgrounds-base 44.0.0-1.fc44
f44-backgrounds-kde 44.0.0-1.fc44
faad2-libs 2.11.2-6.fc44
fatresize 1.1.0-20.20221116gitab78c48.fc44
fdk-aac-free 2.0.3-2.fc44
fedora-appstream-metadata 20260217-1.fc44
fedora-bookmarks 28-36.fc44
fedora-flathub-remote 1-12.fc44
fedora-gpg-keys 44-1
fedora-logos 42.0.1-3.fc44
fedora-release-common 44-17
fedora-release-identity-kde-desktop 44-17
fedora-release-kde-desktop 44-17
fedora-repos 44-1
fedora-third-party 0.10-16.fc44
fedora-workstation-repositories 38-9.fc44
ffmpeg-free 8.0.1-6.fc44
ffmpegthumbs 25.12.3-1.fc44
fftw-libs-double 3.3.10-17.fc44
fftw-libs-single 3.3.10-17.fc44
file 5.46-9.fc44
file-libs 5.46-9.fc44
filelight 25.12.3-1.fc44
filesystem 3.18-52.fc44
findutils 4.10.0-7.fc44
firefox 150.0-1.fc44
firefox-langpacks 150.0-1.fc44
firewall-config 2.4.0-2.fc44
firewalld 2.4.0-2.fc44
firewalld-filesystem 2.4.0-2.fc44
flac-libs 1.5.0-8.fc44
flashrom 1.6.0-3.fc44
flatpak 1.17.6-1.fc44
flatpak-kcm 6.6.4-1.fc44
flatpak-libs 1.17.6-1.fc44
flatpak-selinux 1.17.6-1.fc44
flatpak-session-helper 1.17.6-1.fc44
flexiblas 3.5.0-2.fc44
flexiblas-netlib 3.5.0-2.fc44
flexiblas-openblas-openmp 3.5.0-2.fc44
flite 2.2-13.fc44
fmt 11.2.0-4.fc44
fontconfig 2.17.0-4.fc44
fonts-filesystem 5.0.0-2.fc44
fpaste 0.5.0.0-4.fc44
fprintd 1.94.5-5.fc44
fprintd-pam 1.94.5-5.fc44
freecell-solver-data 6.16.0-2.fc44
freeglut 3.8.0-2.fc44
freerdp 3.24.2-1.fc44
freerdp-libs 3.24.2-1.fc44
freetype 2.14.1-2.fc44
fribidi 1.0.16-4.fc44
fstrm 0.6.1-14.fc44
fuse 2.9.9-25.fc44
fuse3 3.18.2-1.fc44
fuse3-libs 3.18.2-1.fc44
fuse-common 3.18.2-1.fc44
fuse-encfs 1.9.5-28.fc44
fuse-libs 2.9.9-25.fc44
fuse-overlayfs 1.16-2.fc44
fuse-sshfs 3.7.5-3.fc44
fwupd 2.1.1-1.fc44
fwupd-efi 1.8-1.fc44
fwupd-plugin-flashrom 2.1.1-1.fc44
